2022-08-15 22:38:18,959 - INFO - Loading Data...
2022-08-15 22:38:22,939 - INFO - Init nn...
2022-08-15 22:38:25,539 - INFO - Training...
2022-08-15 22:38:37,108 - INFO - [1,   837] loss: 0.181
2022-08-15 22:38:37,162 - INFO - [1,   841] loss: 0.180
2022-08-15 22:38:37,216 - INFO - [1,   845] loss: 0.180
2022-08-15 22:38:37,270 - INFO - [1,   849] loss: 0.180
2022-08-15 22:38:37,324 - INFO - [1,   853] loss: 0.180
2022-08-15 22:38:37,379 - INFO - [1,   857] loss: 0.179
2022-08-15 22:38:37,433 - INFO - [1,   861] loss: 0.179
2022-08-15 22:38:37,488 - INFO - [1,   865] loss: 0.179
2022-08-15 22:38:37,542 - INFO - [1,   869] loss: 0.179
2022-08-15 22:38:37,595 - INFO - [1,   873] loss: 0.179
2022-08-15 22:38:37,649 - INFO - [1,   877] loss: 0.179
2022-08-15 22:38:37,704 - INFO - [1,   881] loss: 0.179
2022-08-15 22:38:37,759 - INFO - [1,   885] loss: 0.178
2022-08-15 22:38:37,812 - INFO - [1,   889] loss: 0.178
2022-08-15 22:38:37,866 - INFO - [1,   893] loss: 0.178
2022-08-15 22:38:37,921 - INFO - [1,   897] loss: 0.178
2022-08-15 22:38:37,975 - INFO - [1,   901] loss: 0.178
2022-08-15 22:38:38,029 - INFO - [1,   905] loss: 0.177
2022-08-15 22:38:38,085 - INFO - [1,   909] loss: 0.177
2022-08-15 22:38:38,139 - INFO - [1,   913] loss: 0.177
2022-08-15 22:38:38,193 - INFO - [1,   917] loss: 0.177
2022-08-15 22:38:38,247 - INFO - [1,   921] loss: 0.177
2022-08-15 22:38:38,300 - INFO - [1,   925] loss: 0.176
2022-08-15 22:38:38,355 - INFO - [1,   929] loss: 0.176
2022-08-15 22:38:38,411 - INFO - [1,   933] loss: 0.176
2022-08-15 22:38:38,464 - INFO - [1,   937] loss: 0.175
2022-08-15 22:38:38,519 - INFO - [1,   941] loss: 0.175
2022-08-15 22:38:38,573 - INFO - [1,   945] loss: 0.175
2022-08-15 22:38:38,627 - INFO - [1,   949] loss: 0.175
2022-08-15 22:38:38,681 - INFO - [1,   953] loss: 0.175
2022-08-15 22:38:38,735 - INFO - [1,   957] loss: 0.175
2022-08-15 22:38:38,790 - INFO - [1,   961] loss: 0.175
2022-08-15 22:38:38,844 - INFO - [1,   965] loss: 0.174
2022-08-15 22:38:38,899 - INFO - [1,   969] loss: 0.174
2022-08-15 22:38:38,953 - INFO - [1,   973] loss: 0.174
2022-08-15 22:38:39,008 - INFO - [1,   977] loss: 0.174
2022-08-15 22:38:39,063 - INFO - [1,   981] loss: 0.173
2022-08-15 22:38:39,116 - INFO - [1,   985] loss: 0.173
2022-08-15 22:38:39,171 - INFO - [1,   989] loss: 0.173
2022-08-15 22:38:39,225 - INFO - [1,   993] loss: 0.173
2022-08-15 22:38:39,280 - INFO - [1,   997] loss: 0.173
2022-08-15 22:38:39,336 - INFO - [1,  1001] loss: 0.173
2022-08-15 22:38:39,391 - INFO - [1,  1005] loss: 0.173
2022-08-15 22:38:39,445 - INFO - [1,  1009] loss: 0.173
2022-08-15 22:38:39,499 - INFO - [1,  1013] loss: 0.172
2022-08-15 22:38:39,552 - INFO - [1,  1017] loss: 0.172
2022-08-15 22:38:39,607 - INFO - [1,  1021] loss: 0.172
2022-08-15 22:38:39,661 - INFO - [1,  1025] loss: 0.172
2022-08-15 22:38:39,715 - INFO - [1,  1029] loss: 0.171
2022-08-15 22:38:39,769 - INFO - [1,  1033] loss: 0.171
2022-08-15 22:38:39,823 - INFO - [1,  1037] loss: 0.171
2022-08-15 22:38:39,878 - INFO - [1,  1041] loss: 0.171
2022-08-15 22:38:39,932 - INFO - [1,  1045] loss: 0.171
2022-08-15 22:38:39,986 - INFO - [1,  1049] loss: 0.171
2022-08-15 22:38:40,040 - INFO - [1,  1053] loss: 0.170
2022-08-15 22:38:40,095 - INFO - [1,  1057] loss: 0.170
2022-08-15 22:38:40,149 - INFO - [1,  1061] loss: 0.170
2022-08-15 22:38:40,203 - INFO - [1,  1065] loss: 0.170
2022-08-15 22:38:40,257 - INFO - [1,  1069] loss: 0.170
2022-08-15 22:38:40,312 - INFO - [1,  1073] loss: 0.170
2022-08-15 22:38:40,366 - INFO - [1,  1077] loss: 0.170
2022-08-15 22:38:40,420 - INFO - [1,  1081] loss: 0.170
2022-08-15 22:38:40,475 - INFO - [1,  1085] loss: 0.169
2022-08-15 22:38:40,530 - INFO - [1,  1089] loss: 0.169
2022-08-15 22:38:40,583 - INFO - [1,  1093] loss: 0.169
2022-08-15 22:38:40,638 - INFO - [1,  1097] loss: 0.169
2022-08-15 22:38:40,692 - INFO - [1,  1101] loss: 0.169
2022-08-15 22:38:40,747 - INFO - [1,  1105] loss: 0.169
2022-08-15 22:38:40,801 - INFO - [1,  1109] loss: 0.168
2022-08-15 22:38:40,855 - INFO - [1,  1113] loss: 0.168
2022-08-15 22:38:40,909 - INFO - [1,  1117] loss: 0.168
2022-08-15 22:38:40,963 - INFO - [1,  1121] loss: 0.168
2022-08-15 22:38:41,018 - INFO - [1,  1125] loss: 0.168
2022-08-15 22:38:41,074 - INFO - [1,  1129] loss: 0.168
2022-08-15 22:38:41,129 - INFO - [1,  1133] loss: 0.168
2022-08-15 22:38:41,183 - INFO - [1,  1137] loss: 0.168
2022-08-15 22:38:41,237 - INFO - [1,  1141] loss: 0.167
2022-08-15 22:38:41,292 - INFO - [1,  1145] loss: 0.167
2022-08-15 22:38:41,345 - INFO - [1,  1149] loss: 0.167
2022-08-15 22:38:41,399 - INFO - [1,  1153] loss: 0.167
2022-08-15 22:38:41,454 - INFO - [1,  1157] loss: 0.167
2022-08-15 22:38:41,508 - INFO - [1,  1161] loss: 0.167
2022-08-15 22:38:41,563 - INFO - [1,  1165] loss: 0.166
2022-08-15 22:38:41,617 - INFO - [1,  1169] loss: 0.166
2022-08-15 22:38:41,673 - INFO - [1,  1173] loss: 0.166
2022-08-15 22:38:41,727 - INFO - [1,  1177] loss: 0.166
2022-08-15 22:38:41,781 - INFO - [1,  1181] loss: 0.166
2022-08-15 22:38:41,835 - INFO - [1,  1185] loss: 0.166
2022-08-15 22:38:41,889 - INFO - [1,  1189] loss: 0.166
2022-08-15 22:38:41,944 - INFO - [1,  1193] loss: 0.166
2022-08-15 22:38:41,999 - INFO - [1,  1197] loss: 0.166
2022-08-15 22:38:42,055 - INFO - [1,  1201] loss: 0.166
2022-08-15 22:38:42,108 - INFO - [1,  1205] loss: 0.165
2022-08-15 22:38:42,163 - INFO - [1,  1209] loss: 0.165
2022-08-15 22:38:42,217 - INFO - [1,  1213] loss: 0.165
2022-08-15 22:38:42,271 - INFO - [1,  1217] loss: 0.165
2022-08-15 22:38:42,325 - INFO - [1,  1221] loss: 0.165
2022-08-15 22:38:42,379 - INFO - [1,  1225] loss: 0.165
2022-08-15 22:38:42,433 - INFO - [1,  1229] loss: 0.165
2022-08-15 22:38:42,487 - INFO - [1,  1233] loss: 0.165
2022-08-15 22:38:42,541 - INFO - [1,  1237] loss: 0.164
2022-08-15 22:38:42,595 - INFO - [1,  1241] loss: 0.164
2022-08-15 22:38:42,650 - INFO - [1,  1245] loss: 0.164
2022-08-15 22:38:42,704 - INFO - [1,  1249] loss: 0.164
2022-08-15 22:38:42,759 - INFO - [1,  1253] loss: 0.164
2022-08-15 22:38:42,813 - INFO - [1,  1257] loss: 0.164
2022-08-15 22:38:42,867 - INFO - [1,  1261] loss: 0.164
2022-08-15 22:38:42,922 - INFO - [1,  1265] loss: 0.163
2022-08-15 22:38:42,976 - INFO - [1,  1269] loss: 0.163
2022-08-15 22:38:43,030 - INFO - [1,  1273] loss: 0.163
2022-08-15 22:38:43,086 - INFO - [1,  1277] loss: 0.163
2022-08-15 22:38:43,141 - INFO - [1,  1281] loss: 0.163
2022-08-15 22:38:43,195 - INFO - [1,  1285] loss: 0.163
2022-08-15 22:38:43,249 - INFO - [1,  1289] loss: 0.163
2022-08-15 22:38:43,303 - INFO - [1,  1293] loss: 0.163
2022-08-15 22:38:43,358 - INFO - [1,  1297] loss: 0.163
2022-08-15 22:38:43,412 - INFO - [1,  1301] loss: 0.163
2022-08-15 22:38:43,466 - INFO - [1,  1305] loss: 0.162
2022-08-15 22:38:43,521 - INFO - [1,  1309] loss: 0.162
2022-08-15 22:38:43,576 - INFO - [1,  1313] loss: 0.162
2022-08-15 22:38:43,629 - INFO - [1,  1317] loss: 0.162
2022-08-15 22:38:43,684 - INFO - [1,  1321] loss: 0.162
2022-08-15 22:38:43,738 - INFO - [1,  1325] loss: 0.162
2022-08-15 22:38:43,791 - INFO - [1,  1329] loss: 0.162
2022-08-15 22:38:43,846 - INFO - [1,  1333] loss: 0.162
2022-08-15 22:38:43,901 - INFO - [1,  1337] loss: 0.162
2022-08-15 22:38:43,954 - INFO - [1,  1341] loss: 0.161
2022-08-15 22:38:44,009 - INFO - [1,  1345] loss: 0.161
2022-08-15 22:38:44,064 - INFO - [1,  1349] loss: 0.161
2022-08-15 22:38:44,119 - INFO - [1,  1353] loss: 0.161
2022-08-15 22:38:44,174 - INFO - [1,  1357] loss: 0.161
2022-08-15 22:38:44,227 - INFO - [1,  1361] loss: 0.161
2022-08-15 22:38:44,281 - INFO - [1,  1365] loss: 0.161
2022-08-15 22:38:44,336 - INFO - [1,  1369] loss: 0.161
2022-08-15 22:38:44,390 - INFO - [1,  1373] loss: 0.161
2022-08-15 22:38:44,444 - INFO - [1,  1377] loss: 0.161
2022-08-15 22:38:44,499 - INFO - [1,  1381] loss: 0.160
2022-08-15 22:38:44,553 - INFO - [1,  1385] loss: 0.160
2022-08-15 22:38:44,606 - INFO - [1,  1389] loss: 0.160
2022-08-15 22:38:44,661 - INFO - [1,  1393] loss: 0.160
2022-08-15 22:38:44,716 - INFO - [1,  1397] loss: 0.160
2022-08-15 22:38:44,770 - INFO - [1,  1401] loss: 0.160
2022-08-15 22:38:44,825 - INFO - [1,  1405] loss: 0.160
2022-08-15 22:38:44,880 - INFO - [1,  1409] loss: 0.160
2022-08-15 22:38:44,934 - INFO - [1,  1413] loss: 0.160
2022-08-15 22:38:44,988 - INFO - [1,  1417] loss: 0.160
2022-08-15 22:38:45,043 - INFO - [1,  1421] loss: 0.160
2022-08-15 22:38:45,097 - INFO - [1,  1425] loss: 0.159
2022-08-15 22:38:45,152 - INFO - [1,  1429] loss: 0.159
2022-08-15 22:38:45,206 - INFO - [1,  1433] loss: 0.159
2022-08-15 22:38:45,260 - INFO - [1,  1437] loss: 0.159
2022-08-15 22:38:45,315 - INFO - [1,  1441] loss: 0.159
2022-08-15 22:38:45,373 - INFO - [1,  1445] loss: 0.159
2022-08-15 22:38:45,427 - INFO - [1,  1449] loss: 0.159
2022-08-15 22:38:45,481 - INFO - [1,  1453] loss: 0.159
2022-08-15 22:38:45,536 - INFO - [1,  1457] loss: 0.159
2022-08-15 22:38:45,591 - INFO - [1,  1461] loss: 0.159
2022-08-15 22:38:45,645 - INFO - [1,  1465] loss: 0.159
2022-08-15 22:38:45,700 - INFO - [1,  1469] loss: 0.159
2022-08-15 22:38:45,755 - INFO - [1,  1473] loss: 0.159
2022-08-15 22:38:45,809 - INFO - [1,  1477] loss: 0.159
2022-08-15 22:38:45,863 - INFO - [1,  1481] loss: 0.159
2022-08-15 22:38:45,918 - INFO - [1,  1485] loss: 0.158
2022-08-15 22:38:45,972 - INFO - [1,  1489] loss: 0.158
2022-08-15 22:38:46,026 - INFO - [1,  1493] loss: 0.158
2022-08-15 22:38:46,081 - INFO - [1,  1497] loss: 0.158
2022-08-15 22:38:46,135 - INFO - [1,  1501] loss: 0.158
2022-08-15 22:38:46,189 - INFO - [1,  1505] loss: 0.158
2022-08-15 22:38:46,244 - INFO - [1,  1509] loss: 0.158
2022-08-15 22:38:46,298 - INFO - [1,  1513] loss: 0.158
2022-08-15 22:38:46,352 - INFO - [1,  1517] loss: 0.158
2022-08-15 22:38:46,407 - INFO - [1,  1521] loss: 0.158
2022-08-15 22:38:46,461 - INFO - [1,  1525] loss: 0.157
2022-08-15 22:38:46,518 - INFO - [1,  1529] loss: 0.157
2022-08-15 22:38:46,573 - INFO - [1,  1533] loss: 0.157
2022-08-15 22:38:46,627 - INFO - [1,  1537] loss: 0.157
2022-08-15 22:38:46,680 - INFO - [1,  1541] loss: 0.157
2022-08-15 22:38:46,734 - INFO - [1,  1545] loss: 0.157
2022-08-15 22:38:46,790 - INFO - [1,  1549] loss: 0.157
2022-08-15 22:38:46,843 - INFO - [1,  1553] loss: 0.157
2022-08-15 22:38:46,898 - INFO - [1,  1557] loss: 0.157
2022-08-15 22:38:46,953 - INFO - [1,  1561] loss: 0.157
2022-08-15 22:38:47,009 - INFO - [1,  1565] loss: 0.157
2022-08-15 22:38:47,063 - INFO - [1,  1569] loss: 0.157
2022-08-15 22:38:47,117 - INFO - [1,  1573] loss: 0.157
2022-08-15 22:38:47,172 - INFO - [1,  1577] loss: 0.157
2022-08-15 22:38:47,226 - INFO - [1,  1581] loss: 0.156
2022-08-15 22:38:47,281 - INFO - [1,  1585] loss: 0.156
2022-08-15 22:38:47,335 - INFO - [1,  1589] loss: 0.156
2022-08-15 22:38:47,389 - INFO - [1,  1593] loss: 0.156
